age,workclass,fnlwgt,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income,Unnamed: 0
44.094552557122796,Private,179313.12831823961,6.217956298816558,Never-married,Prof-specialty,Own-child,White,Female,0.002,-0.002,26.747135550936022,United-States,0,11472.0
37.0,Self-emp-not-inc,76855.0,10.0,Divorced,Exec-managerial,Unmarried,White,Female,0.0,0.0,40.0,United-States,0,
46.0,Private,358886.0,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,United-States,0,
35.0,Private,103986.0,11.0,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,40.0,United-States,1,
28.0,Private,124680.0,9.0,Never-married,Sales,Unmarried,White,Female,0.0,0.0,70.0,United-States,0,
27.0,Private,310850.0,9.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,50.0,United-States,0,
26.0,Private,306225.0,13.0,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,0.0,0.0,40.0,Poland,0,
38.0,Private,82552.0,9.0,Never-married,Handlers-cleaners,Not-in-family,White,Male,594.0,0.0,50.0,United-States,0,
18.0,Private,98667.0,7.0,Never-married,Other-service,Own-child,White,Female,0.0,0.0,16.0,United-States,0,
23.0,Private,115458.0,9.0,Never-married,Transport-moving,Own-child,White,Male,0.0,0.0,40.0,United-States,0,
38.0,Private,193815.0,14.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,45.0,United-States,1,
55.0,Federal-gov,31965.0,10.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,40.0,United-States,0,
55.0,Private,141877.0,13.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,United-States,0,
51.0,Private,154949.0,9.0,Widowed,Machine-op-inspct,Not-in-family,Black,Female,0.0,0.0,40.0,United-States,0,
52.0,Self-emp-not-inc,165278.0,11.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,0,
35.0,Private,282951.0,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,70.0,United-States,0,
29.0,Private,133136.0,8.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40.0,United-States,1,
63.0,Local-gov,214143.0,13.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40.0,Cuba,0,
41.0,Private,176452.0,9.0,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,40.0,Peru,0,
40.0,Self-emp-not-inc,223881.0,15.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999.0,0.0,70.0,United-States,1,
44.0,Self-emp-inc,151089.0,9.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,1887.0,70.0,United-States,1,
35.0,Local-gov,223242.0,13.0,Divorced,Prof-specialty,Not-in-family,White,Male,0.0,0.0,40.0,United-States,0,
17.0,Private,121287.0,5.0,Never-married,Craft-repair,Own-child,White,Male,0.0,0.0,40.0,United-States,0,
75.0,Self-emp-not-inc,218521.0,10.0,Married-spouse-absent,Craft-repair,Not-in-family,White,Male,0.0,0.0,30.0,United-States,0,
45.0,Private,170092.0,10.0,Divorced,Other-service,Not-in-family,White,Female,0.0,0.0,50.0,United-States,0,
29.0,Private,326330.0,10.0,Divorced,Exec-managerial,Own-child,White,Female,1831.0,0.0,40.0,United-States,0,
30.0,Private,97757.0,11.0,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,0.0,36.0,United-States,1,
20.0,Private,260199.0,9.0,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,10.0,United-States,0,
70.24211949472432,Local-gov,153425.01708728378,14.691504767863236,Married-civ-spouse,Prof-specialty,Wife,White,Female,5924.843941083061,-0.001999999403953552,32.170239092584325,United-States,1,1930.0
56.0,Self-emp-not-inc,335605.0,9.0,Married-civ-spouse,Other-service,Husband,White,Male,0.0,1887.0,50.0,Canada,1,
26.0,Private,105787.0,9.0,Never-married,Craft-repair,Own-child,White,Male,0.0,0.0,36.0,United-States,0,
51.0,Private,209912.0,13.0,Divorced,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Male,0.0,0.0,50.0,United-States,0,
45.0,Self-emp-inc,160440.0,9.0,Divorced,Exec-managerial,Not-in-family,White,Male,0.0,0.0,42.0,United-States,0,
36.0,State-gov,170861.0,9.0,Separated,Other-service,Own-child,White,Female,0.0,0.0,32.0,United-States,0,
18.0,Private,201554.0,10.0,Never-married,Machine-op-inspct,Not-in-family,White,Female,0.0,0.0,15.0,United-States,0,
17.0,Private,108909.0,9.0,Never-married,Sales,Own-child,White,Female,0.0,0.0,20.0,United-States,0,
23.0,Private,53245.0,13.0,Never-married,Sales,Not-in-family,White,Male,0.0,1602.0,12.0,United-States,0,
60.0,Private,201965.0,10.0,Never-married,Prof-specialty,Unmarried,White,Male,0.0,0.0,40.0,United-States,1,
37.0,Private,405644.0,2.0,Married-spouse-absent,Farming-fishing,Other-relative,White,Male,0.0,0.0,77.0,Mexico,0,
